LOCALIDAD,TITULO,CLASIFICAC,DIRECCION,AUTOR,FECHA_ELAB,X,Y
Chapinero,Hacia el infinito,E_Antropomorfa,CL 57 9 07,"Arango Muñoz, Salvador",ca. 1983,"101590,893","105203,8539"
Chapinero,Bernardo O'Higgins,E_Antropomorfa,KR 6 - CL 77,Anonimo,Sin fecha,"102863,29","106929,54"
Chapinero,Venados,E_Zoomorfa,CL 71 6 24,"Fonseca Ortiz, Jose Hernando",ca. 1997,"102477,73","106450,66"
Chapinero,Mujer con niño,E_Antropomorfa,KR 11 86 32,Anonimo,Sin fecha,"103012,105","108059,039"
Chapinero,Mujer con media,E_Antropomorfa,KR 11 86 32,Anonimo,Sin fecha,"103017,0988","108071,0808"
Chapinero,Menorah,E_Abstracta,CL 94 - AK 11,"Grossman, Joel",2006,"103495,49","108945,61"
Chapinero,Stylos,E_Abstracta,CL 100 19A 35,"Vayda, Ronny",2007,"102706,38","109909,36"
Chapinero,Plegaria por la paz,E_Antropomorfa,KR 4 72BIS 35,"Arango, Salvador",ca. 1976,"102736,5168","106424,6948"
Chapinero,Primera piedra Iglesia de la Inmaculada,Placa,KR 11 - AC 72,Orden franciscana,1919,"102121,9847","106746,6374"
Chapinero,San Juan Bautista de la Salle,E_Antropomorfa,KR 5 - CL 59ABIS Y CL 60A,Padres de alumnos liceAstas,ca.1951,"101928,28","105385,62"
Chapinero,San Jose y el niño,E_Adosadas,KR 5 59A 44,Anonimo,Escultura: ca. 1919,"101959,78","105399,65"
Chapinero,Julio Florez,E_Antropomorfa,CL 60 7 49,"Pinto Maldonado, Luis",ca. 1967,"101772,93","105438,38"
Chapinero,Manuel Roergas de Serviez,E_Antropomorfa,CL 61 4A 21,"Benitez Bolaños, Gerardo",ca. 1966,"102016,0546","105440,2366"
Chapinero,Monumento a bomberos,E_Antropomorfa,CL 62 9A 19,"Llamosa Malagon, Ernesto",ca. 1964,"101684,075","105731,0952"
Engativa,Perfiles interiores,E_Abstracta,CL 81A - KR 73A,"Lopez Yepes, Duvan",ca. 1999,"98549,74366","111305,0686"
Engativa,Pierna,E_Antropomorfa,CL 81A - KR 73A,"Hanna, Jorge",ca. 1987,"98564,14898","111303,7755"
Engativa,Hombre mirando al infinito ,E_Antropomorfa,CL 81A - KR 73A,"Roman, Celso",ca. 1980,"98604,69212","111340,8629"
Engativa,Escala de Jacob,E_Geometrica,CL 81A - KR 73A,"Ardila Plata, Augusto",ca. 1985,"98564,85","111334,61"
Engativa,Alhambra,E_Geometrica,CL 81A - KR 73A,"Henao, Alvaro",ca. 1988,"98569,09","111339,6"
Engativa,Sin titulo,Mural,KR 74 82A 81,"Pardo, MarAa Teresa",ca.1985,"98550,96","111317,28"
Engativa,Perfidos,E_Abstracta,CL 81A - KR 73A,"Zapata, Hugo",ca. 2009,"98577,15","111303,78"
Engativa,Gaviota,E_Abstracta,TV 74 81C 81,"Nierman, Leonardo",ca. 1976,"98572,65","111392,42"
Engativa,Eclipse,E_Geometrica,TV 74 81C 81,"Riaño Salazar, Alberto",ca. 1988,"98560,81845","111374,8449"
Engativa,Familia,E_Antropomorfa,KR 73A - CL 81B,"Ferrer Barrera, German",ca. 1966,"98625,57","111289,76"
Engativa,Gustavo Rojas Pinilla,E_Antropomorfa,KR 70 - CL 72,Anonimo,ca. 1982,"98431,15","109687,11"
Engativa,Maternidad,E_Antropomorfa,KR 73A - CL 81B,Anonimo,ca. 1970,"98635,62","111303,25"
Engativa,El nacimiento del mundo,E_Abstracta,KR 74 82A 81,"RodrAguez Arango, Carlos",1986,"98578,62608","111350,3025"
Engativa,Tuerca de espiral,E_Abstracta,CL 81A - KR 73A,"Amaral, Jim",ca. 2001,"98570,30046","111303,3355"
Engativa,Signo centenario,E_Abstracta,CL 81A - KR 73A,"Hernandez, Manuel",ca. 2009,"98587,68491","111300,5901"
Engativa,Sembrar miradas,E_Fitomorfa,CL 81A - KR 73A,"Padilla Beltran, Cesar",ca. 2009,"98603,65712","111308,753"
Engativa,Signo encuentro,Mural,KR 74 82A 81,"Hernandez, Manuel",ca. 1986,"98558,4272","111324,5201"
Engativa,Oriente,E_Abstracta,CL 81A - KR 73A,"Castles, John",ca. 2001,"98553,74","111360,67"
Engativa,Composicion,E_Abstracta,CL 81A - KR 73A,"Urueta, Luis Eduardo",ca. 1986,"98546,99","111297,7"
Engativa,Jose Celestino Mutis,E_Antropomorfa,AC 63 68 95,"Bañuelos, Tomas",1988,"97770,3","107940,92"
Engativa,Mutisia clematis,Conjunto escultorico,AC 63 68 95,"Cristancho, Gisella",1997,"97793,58","107954,81"
Engativa,San Juan Bosco,Conjunto escultorico,DG 44 69 96,Anonimo,ca. 1957,"96650,828","107243,3261"
Engativa,Totem,E_Abstracta,CL 26 68B 74,"Negret, Edgar",ca. 1979,"96905,68921","106797,8895"
Engativa,Cristo desnudo,E_Antropomorfa,CL 81A - KR 73A,"Arosemena, Justo",ca. 1971,"98581,03522","111344,0495"
Engativa,Obelisco,E_Abstracta,CL 81A - KR 73A,"Rojas Gonzalez, Carlos",ca. 1974,"98543,81","111315,16"
Engativa,Catedral policromada,E_Abstracta,CL 81A - KR 73A,"RamArez Villamizar, Eduardo",ca. 1984,"98576,25332","111356,2257"
Engativa,Piedad barequera,E_Antropomorfa,CL 81A - KR 73A,"Arenas Betancourt, Rodrigo",ca. 1987,"98596,07","111343,4"
Engativa,Custodia,E_Geometrica,KR 74 82A 81,"RamArez Villamizar, Eduardo",ca. 1964,"98554,98312","111351,2503"
Engativa,Ventana al infinito,E_Abstracta,KR 73A 81C 81,"Urueta, Luis Eduardo",ca. 1974,"98653,21985","111342,6593"
Engativa,Sisifo,E_Abstracta,CL 81A - KR 73A,"Ospina, NadAn",ca. 1981,"98559,52775","111304,7257"
Fontibon,Horizontes,E_Abstracta,AC 26 - KR 108,"Negret, Edgar",ca. 1994,"93407,45","110815,49"
Fontibon,Pedazo de rio,E_Geometrica,AC 26 - KR 120,"Salcedo, Bernardo",ca. 1994,"93137,4393","111172,4389"
Fontibon,Oracion al proscrito,E_Antropomorfa,AC 26 - KR 116,"Arenas Betancourt, Rodrigo",ca. 1957,"93089,20011","111189,1969"
Fontibon,Paso de Simon Bolivar de Suba a Fontibon,Placa,AC 26 - KR 96,Anonimo,1930,"94874,59777","109712,0387"
Fontibon,Puerta a Machu Picchu,E_Geometrica,CL 26 68B 85,"RamArez Villamizar, Eduardo",ca. 1984,"96855,27592","106610,4457"
Fontibon,Reloj de la Iglesia de Santiago Apostol,Reloj,KR 99 17A 62,No aplica,Mecanismo maestro: ca. 1896; Campana: 1949,"92621,60531","108513,7707"
Fontibon,Cruz atrial,Conjunto escultorico,KR 99 17A 62,Anonimo,Sin fecha,"92612,47451","108485,1361"
Fontibon,Santiago Apostol,E_Adosadas,KR 99 17A 62,Anonimo,Sin fecha,"92613,70783","108507,3131"
Fontibon,Campanas de la Iglesia de Santiago Apostol,Campana,KR 99 17A 62,No aplica,Campana 1: 1891; campana 2: 1928; campana 3: 1949,"92611,29139","108505,6944"
Fontibon,Homenaje a proceres de la Independencia,Placa,CL 18 99 02,Alcaldia de Fontibon,1983,"92617,46","108528,35"
,,,,Parroquia de Santiago Apostol,,,
Fontibon,Aqui vivio San Pedro Claver,Placa,KR 99 17A 62,Anonimo,ca.1944,"92618,94","108474,27"
Fontibon,Cacique Hyntiba,E_Antropomorfa,CL 17A 99 53,"Sanchez MartAnez, Hernando",2000,"92473,93517","108497,1743"
Fontibon,Conmemoracion reconstruccion Iglesia de Santiago Apostol,Placa,KR 99 17A 62,Anonimo,1948,"92618,6388","108511,8186"
Fontibon,Homenaje a Manuel Ricaurte Caycedo,Placa,KR 99 17A 62,Anonimo,1962,"92612,24","108497,61"
Fontibon,Homenaje a Luis Carlos Manrique Soriano,Placa,KR 99 17A 62,Anonimo,1979,"92610,26","108497,98"
Fontibon,Homenaje a Jose Ignacio Castillo Cervantes,Placa,CL 22HBIS 98A 67,"Castillo Cervantes, Teresa",1996,"93110,71716","108987,1282"
Fontibon,Beethoven,E_Antropomorfa,CL 22HBIS 98A 75,"Castillo Cervantes, Ignacio",ca. 1960,"93106,48","108990,53"
Fontibon,Nuestra Señora de la luz,Relieve,CL 22HBIS 98A 75,"Castillo Cervantes, Ignacio",ca. 1968,"93106,48","108990,53"
Fontibon,Flower Pot,E_Fitomorfa,AC 26 - KR 116,"Britto Tiesto, Romero",ca. 2013,"93155,97747","111163,9017"
Fontibon,Casa del pueblo,Placa,CL 17 A 99 53,Anonimo,1973,"92489,97","108499,14"
Fontibon,Lumbalu,E_Antropomorfa,AVENIDA LA CONSTITUCI├ôN (KR 68D) - CL 22A,"Lugo, Juan Manuel",2002,"96023,13","106038,03"
Fontibon,Carlos Lleras Restrepo,E_Antropomorfa,KR 70 22D 73,Ibañez,ca. 2000,"95538,41","106666,03"
Fontibon,Intihuatana,E_Abstracta,AC 26 - KR 81B,"Szyszlo, Fernando de",ca. 1994,"95737,9","108506,47"
Fontibon,Isabel la Catolica y Cristobal Colon,Conjunto escultorico,AC 26 - KR 98 Y KR 100,"Sighinolfi, Cesare",ca. 1896,"94392,76","110071,62"
,,,98 y 100,,,,
Fontibon,Puente de San Antonio,Estructura ingenieril,CL 17 - KR 96A,Anonimo,ca. 1640,"92999,81791","107682,7521"
Usaquen,Piano de luna,E_Abstracta,AK 7 116 04,"Hakim de Neme, Claudia",ca.2000,"104972,1151","110807,661"
Usaquen,Simon Bolivar,E_Antropomorfa,KR 6A - CL 118,"Pinto Maldonado, Luis",ca. 1930 -1940,"105136,4484","110927,7389"
Usaquen,Fuente,Fuente,KR 6A YKR 6 - CL 118 Y CL 119,Anonimo,ca. 1950,"105176,4705","110942,5677"
Usaquen,Francisco de Paula Santander,E_Antropomorfa,AK 7 150 21,"Pinto Maldonado, Luis",ca. 1939-1982,"105781,7337","114239,6658"
Usaquen,Titanes de la comunicacion,Conjunto escultorico,CL 113 7 45,"Gutierrez, Roberto",ca. 1996,"104736,0005","110517,6041"
Usaquen,Sin titulo,E_Geometrica,AC 134 - KR 9,"Alvarez, Raul",1998,"105008,7079","112861,3775"
